State,Year,Population
District of Columbia,1971,741000
District of Columbia,1972,748000
District of Columbia,1973,746000
District of Columbia,1974,723000
District of Columbia,1975,716000
District of Columbia,1976,702000
District of Columbia,1977,690000
District of Columbia,1978,674000
District of Columbia,1979,656000
District of Columbia,1980,635233
District of Columbia,1981,636000
District of Columbia,1982,631000
District of Columbia,1983,623000
District of Columbia,1984,623000
District of Columbia,1985,626000
District of Columbia,1986,626000
District of Columbia,1987,622000
District of Columbia,1988,620000
District of Columbia,1989,604000
District of Columbia,1990,606900
District of Columbia,1991,598000
District of Columbia,1992,589000
District of Columbia,1993,578000
District of Columbia,1994,570000
District of Columbia,1995,554000
District of Columbia,1996,543000
District of Columbia,1997,529000
District of Columbia,1998,523000
District of Columbia,1999,519000
District of Columbia,2000,572059
District of Columbia,2001,573822
District of Columbia,2002,569157
District of Columbia,2003,557620
District of Columbia,2004,554239
District of Columbia,2005,582049
District of Columbia,2006,581530
District of Columbia,2007,588292
District of Columbia,2008,591833
District of Columbia,2009,599657
District of Columbia,2010,604912
District of Columbia,2011,619020
District of Columbia,2012,632323
Florida,1960,4951560
Florida,1961,5222000
Florida,1962,5459000
Florida,1963,5652000
Florida,1964,5705000
Florida,1965,5805000
Florida,1966,5941000
Florida,1967,5995000
Florida,1968,6160000
Florida,1969,6354000
Florida,1970,6789443
Florida,1971,7041000
Florida,1972,7259000
Florida,1973,7678000
Florida,1974,8090000
Florida,1975,8357000
Florida,1976,8421000
Florida,1977,8452000
Florida,1978,8594000
Florida,1979,8860000
Florida,1980,9567112
Florida,1981,10166000
Florida,1982,10416000
Florida,1983,10680000
Florida,1984,10976000
Florida,1985,11366000
Florida,1986,11675000
Florida,1987,12023000
Florida,1988,12377000
Florida,1989,12671000
Florida,1990,12937926
Florida,1991,13277000
Florida,1992,13488000
Florida,1993,13679000
Florida,1994,13953000
Florida,1995,14166000
Florida,1996,14400000
Florida,1997,14654000
Florida,1998,14916000
Florida,1999,15111244
Florida,2000,15982378
Florida,2001,16373330
Florida,2002,16691701
Florida,2003,16999181
Florida,2004,17385430
Florida,2005,17768191
Florida,2006,18089888
Florida,2007,18251243
Florida,2008,18328340
Florida,2009,18537969
Florida,2010,18838613
Florida,2011,19082262
Florida,2012,19317568
Georgia,1960,3943116
Georgia,1961,3987000
Georgia,1962,4100000
Georgia,1963,4140000
Georgia,1964,4294000
Georgia,1965,4357000
Georgia,1966,4459000
Georgia,1967,4509000
Georgia,1968,4588000
Georgia,1969,4641000
Georgia,1970,4589575
Georgia,1971,4664000
Georgia,1972,4720000
Georgia,1973,4786000
Georgia,1974,4882000
Georgia,1975,4926000
Georgia,1976,4970000
Georgia,1977,5048000
Georgia,1978,5084000
Georgia,1979,5118000
Georgia,1980,5400851
Georgia,1981,5569000
Georgia,1982,5639000
Georgia,1983,5732000
Georgia,1984,5837000
Georgia,1985,5976000
Georgia,1986,6104000
Georgia,1987,6222000
Georgia,1988,6401000
Georgia,1989,6436000
Georgia,1990,6478216
Georgia,1991,6623000
Georgia,1992,6751000
Georgia,1993,6917000
Georgia,1994,7055000
Georgia,1995,7201000
Georgia,1996,7353000
Georgia,1997,7486000
Georgia,1998,7642000
Georgia,1999,7788240
Georgia,2000,8186453
Georgia,2001,8405677
Georgia,2002,8544005
Georgia,2003,8676460
Georgia,2004,8918129
Georgia,2005,9132553
Georgia,2006,9363941
Georgia,2007,9544750
Georgia,2008,9685744
Georgia,2009,9829211
Georgia,2010,9712157
Georgia,2011,9812460
Georgia,2012,9919945
Hawaii,1960,632772
Hawaii,1961,657000
Hawaii,1962,693000
Hawaii,1963,694000
Hawaii,1964,701000
Hawaii,1965,711000
Hawaii,1966,718000
Hawaii,1967,739000
Hawaii,1968,778000
Hawaii,1969,794000
Hawaii,1970,769913
Hawaii,1971,789000
Hawaii,1972,809000
Hawaii,1973,832000
Hawaii,1974,847000
Hawaii,1975,865000
Hawaii,1976,887000
Hawaii,1977,895000
Hawaii,1978,897000
Hawaii,1979,915000
Hawaii,1980,964680
Hawaii,1981,979000
Hawaii,1982,994000
Hawaii,1983,1023000
Hawaii,1984,1039000
Hawaii,1985,1054000
Hawaii,1986,1062000
Hawaii,1987,1083000
Hawaii,1988,1093000
Hawaii,1989,1112000
Hawaii,1990,1108229
Hawaii,1991,1135000
Hawaii,1992,1160000
Hawaii,1993,1172000
Hawaii,1994,1179000
Hawaii,1995,1187000
Hawaii,1996,1184000
Hawaii,1997,1187000
Hawaii,1998,1193000
Hawaii,1999,1185497
Hawaii,2000,1211537
Hawaii,2001,1227024
Hawaii,2002,1240663
Hawaii,2003,1248755
Hawaii,2004,1262124
Hawaii,2005,1273278
Hawaii,2006,1285498
Hawaii,2007,1283388
Hawaii,2008,1288198
Hawaii,2009,1295178
Hawaii,2010,1363359
Hawaii,2011,1378129
Hawaii,2012,1392313
Idaho,1960,667191
Idaho,1961,684000
Idaho,1962,698000
Idaho,1963,713000
Idaho,1964,692000
Idaho,1965,692000
Idaho,1966,694000
Idaho,1967,699000
Idaho,1968,705000
Idaho,1969,718000
Idaho,1970,713008
Idaho,1971,732000
Idaho,1972,756000
Idaho,1973,770000
Idaho,1974,799000
Idaho,1975,820000
Idaho,1976,831000
Idaho,1977,857000
Idaho,1978,878000
Idaho,1979,905000
Idaho,1980,943629
Idaho,1981,959000
Idaho,1982,965000
Idaho,1983,989000
Idaho,1984,1001000
Idaho,1985,1005000
Idaho,1986,1003000
Idaho,1987,998000
Idaho,1988,999000
Idaho,1989,1014000
Idaho,1990,1006749
Idaho,1991,1039000
Idaho,1992,1067000
Idaho,1993,1099000
Idaho,1994,1133000
Idaho,1995,1163000
Idaho,1996,1189000
Idaho,1997,1210000
Idaho,1998,1229000
Idaho,1999,1251700
Idaho,2000,1293953
